date,state,positive
7-Apr-20,DL,51
7-Apr-20,GJ,29
7-Apr-20,KA,12
7-Apr-20,MP,34
7-Apr-20,MH,150
7-Apr-20,RJ,42
7-Apr-20,TN,69
7-Apr-20,TG,40
7-Apr-20,UP,27
7-Apr-20,WB,11
8-Apr-20,DL,93
8-Apr-20,GJ,11
8-Apr-20,KA,6
8-Apr-20,MP,51
8-Apr-20,MH,117
8-Apr-20,RJ,40
8-Apr-20,TN,48
8-Apr-20,TG,49
8-Apr-20,UP,29
8-Apr-20,WB,8
9-Apr-20,DL,51
9-Apr-20,GJ,76
9-Apr-20,KA,16
9-Apr-20,MP,70
9-Apr-20,MH,229
9-Apr-20,RJ,80
9-Apr-20,TN,96
9-Apr-20,TG,18
9-Apr-20,UP,49
9-Apr-20,WB,4
10-Apr-20,DL,183
10-Apr-20,GJ,116
10-Apr-20,KA,10
10-Apr-20,MP,40
10-Apr-20,MH,210
10-Apr-20,RJ,98
10-Apr-20,TN,77
10-Apr-20,TG,16
10-Apr-20,UP,23
10-Apr-20,WB,13
11-Apr-20,DL,166
11-Apr-20,GJ,90
11-Apr-20,KA,8
11-Apr-20,MP,78
11-Apr-20,MH,187
11-Apr-20,RJ,139
11-Apr-20,TN,58
11-Apr-20,TG,16
11-Apr-20,UP,19
11-Apr-20,WB,10
12-Apr-20,DL,85
12-Apr-20,GJ,48
12-Apr-20,KA,17
12-Apr-20,MP,33
12-Apr-20,MH,221
12-Apr-20,RJ,104
12-Apr-20,TN,106
12-Apr-20,TG,28
12-Apr-20,UP,31
12-Apr-20,WB,8
13-Apr-20,DL,356
13-Apr-20,GJ,56
13-Apr-20,KA,15
13-Apr-20,MP,52
13-Apr-20,MH,352
13-Apr-20,RJ,93
13-Apr-20,TN,98
13-Apr-20,TG,61
13-Apr-20,UP,75
13-Apr-20,WB,18
14-Apr-20,DL,51
14-Apr-20,GJ,78
14-Apr-20,KA,13
14-Apr-20,MP,127
14-Apr-20,MH,350
14-Apr-20,RJ,108
14-Apr-20,TN,31
14-Apr-20,TG,52
14-Apr-20,UP,102
14-Apr-20,WB,38
15-Apr-20,DL,17
15-Apr-20,GJ,116
15-Apr-20,KA,19
15-Apr-20,MP,197
15-Apr-20,MH,232
15-Apr-20,RJ,71
15-Apr-20,TN,38
15-Apr-20,TG,6
15-Apr-20,UP,75
15-Apr-20,WB,23
16-Apr-20,DL,62
16-Apr-20,GJ,163
16-Apr-20,KA,36
16-Apr-20,MP,226
16-Apr-20,MH,286
16-Apr-20,RJ,55
16-Apr-20,TN,25
16-Apr-20,TG,50
16-Apr-20,UP,70
16-Apr-20,WB,18
17-Apr-20,DL,67
17-Apr-20,GJ,170
17-Apr-20,KA,44
17-Apr-20,MP,146
17-Apr-20,MH,118
17-Apr-20,RJ,98
17-Apr-20,TN,56
17-Apr-20,TG,66
17-Apr-20,UP,44
17-Apr-20,WB,24
