,1,2,3
0.0,7.502899849842939e-08,3.6314587722750162e-09,1.8322985135562063e-15
0.01,7.749643248051443e-08,3.861253221196464e-09,2.0695671568884142e-15
0.02,8.00421752807361e-08,4.105152391912893e-09,2.3370840645279785e-15
0.03,8.266861177261532e-08,4.363993069533869e-09,2.638642384330014e-15
0.04,8.537819599217955e-08,4.6386598069492445e-09,2.9785026930279938e-15
0.05,8.817345302699884e-08,4.930087533228466e-09,3.361449538060329e-15
0.06,9.105698095300556e-08,5.239264297180243e-09,3.7928546846861415e-15
0.07,9.403145282016427e-08,5.567234152642491e-09,4.278747846845771e-15
0.08,9.70996186881194e-08,5.915100192365693e-09,4.825895768536511e-15
0.09,1.0026430771293273e-07,6.284027737658164e-09,5.4418906205759486e-15
0.1,1.0352843028605863e-07,6.675247691283893e-09,6.1352487865573036e-15
0.11,1.0689498022674899e-07,7.0900600614280935e-09,6.9155212327059655e-15
0.12,1.1036703702905834e-07,7.529837664894392e-09,7.793416790542769e-15
0.13,1.139477681646661e-07,7.996030018050084e-09,8.780939830133266e-15
0.14,1.1764043144278736e-07,8.49016742441383e-09,9.89154396684161e-15
0.15,1.2144837742838703e-07,9.013865268154674e-09,1.1140303627608034e-14
0.16,1.2537505192000192e-07,9.568828523178907e-09,1.2544105505770646e-14
0.17,1.2942399848850087e-07,1.0156856487895878e-08,1.4121862158407329e-14
0.18,1.335988610780669e-07,1.0779847756178248e-08,1.5894750249453544e-14
0.19,1.3790338667080132e-07,1.143980543548418e-08,1.7886476217916833e-14
0.2,1.42341428016309e-07,1.213884262357297e-08,2.0123572456259768e-14
0.21,1.469169464276657e-07,1.2879188155717023e-08,2.263572742247605e-14
0.22,1.5163401464519155e-07,1.3663192634818436e-08,2.5456153483991192e-14
0.23,1.5649681976953026e-07,1.4493334757358267e-08,2.862199670594558e-14
0.24,1.6150966626544004e-07,1.537222794862207e-08,3.2174793254899473e-14
0.25,1.6667697903786444e-07,1.63026273212202e-08,3.616097759594046e-14
0.26,1.7200330658175873e-07,1.7287436971476475e-08,4.063244822161479e-14
0.27,1.7749332420730663e-07,1.832971762886717e-08,4.564719727054083e-14
